festival_name,genre,city,state,start_date,end_date,description
LLDC Festival of Music,Music,Kutch Gujarat,Gujarat,27 Oct 2023,29 Oct 2023,"The Living and Learning Design Centre, also known as LLDC, is a museum and cultural centre based in Ajrakhpur, Kutch. In line with its vision of preserving and sustaining the crafts of the district, the LLDC organises a music festival each year. It aims to promote both roots and contemporary music from across the country on the same stage. LLDC Festival of Music is the first-of-its-kind festival in Kutch to promote, encourage and provide a platform to emerging young artists from the field of music. Initiated in 2022 by The Shrujan Trust, Kutch, this music festival has become an annual tradition, taking place each October around the occasion of Sharad Poornima. Over the course of three days, the festival celebrates a diverse array of musical genres and traditions."
LiveBox Festival,Music,Mumbai,Maharashtra,24 Sep 2022,,
Lemonade Goa,Music,Goa,Goa,31 Dec 2022,,Lemonade Goa is an independent music festival organised bySkillbox.
Langa Music Festival,Music,Barnawa Jageer,Rajasthan,12 Nov 2022,13 Nov 2022,"This weekend-long festival, at Barnawa Jageer village in the Barmer district, showcases the history and traditions of the Langa community of folk musicians from west Rajasthan. It is part of a collaborative initiative of the Department of Tourism, Government of Rajasthan and UNESCO to strengthen the Intangible Cultural Heritage of the region."
Lalaland Festival,Music,Goa,Goa,29 Jun 2024,30 Jun 2024,"LaLaLand Festival saw its ﬁrst edition in Goa in March 2018. From approximately 800 visitors it has now grown to a festival with over 3000 visitors. After multiple additions in India and Netherlands, were returning to Goa with our 5th edition this December where dreams will become a reality."
Ladakh International Music Festival,Music,Leh,Ladakh,30 Apr 2022,02 May 2022,"Ladakh, also known as the Land of High Passes, hosted the inaugural edition of the Ladakh International Music Festival in 2022. The three-day event featured performances by some of the countrys best-known rock acts, a band competition for local musicians, and a special tribute to the brave hearts of the Indian Army at one of the worlds highest war memorials, Rezang La, located at an elevation of 18,000 feet."
Kholey Dai Festival,Music,Parengtar,West Bengal,13 Dec 2024,15 Dec 2024,"The Kholey Dai Festival, launched in 2021, is an annual rice harvest and folk music festival in the village of Parengtar inKampilong. It aims to revive and reestablish community activities around rice grain harvesting, known as dai in Nepali."
Kasauli Rhythm & Blues Music Festival,Music,Kasauli,Himachal Pradesh,19 Apr 2019,20 Apr 2019,"Genesis Foundation conceptualised the Kasauli Rhythm & Blues Music Festival in 2012 with the belief that music is a positive and participatory force in creating change in society. Held annually amidst the lush landscape of Kasauli, Himachal, the festival raises funds for the treatment of critically ill and underprivileged children suffering from heart disorders. Singers such as Usha Uthup, Leslie Lewis, Rabbi Shergill, Ankur Tewari and Jonita Gandhi and bands like Parikrama, Thaikkudam Bridge, The Local Train, Parvaaz and When Chai Met Toast are among the acts who have supported the cause and performed at the Kasauli Rhythm & Blues Music Festival over its eight editions. The festival was last held in 2019."
Kantha Mela,Music,Agortor Nanoor,West Bengal,18 Oct 2024,20 Oct 2024,"Agartor village, located in Nanoor block of Birbhum district, is a vibrant cultural hub, renowned for its intricate Kantha embroidery, which sustains a rich tradition of artistic craftsmanship. In Agartor, there is a Kantha museum supported by Coal India Limited, which serves as a dedicated space to practice, promote, and safeguard the timeless tradition of Kantha embroidery. Apart from its cultural treasures, the village is steeped in history, housing the Chandidas temple and the residence of the revered 14th-century poet Chandidas, known for his Sri Krishna Kirtan, a poetic tribute to the divine love of Radha and Krishna. This blend of artistic tradition, historical significance, and natural beauty makes Agartor a unique destination where culture and history seamlessly converge."
Jodhpur RIFF,Music,Jodhpur,Rajasthan,16 Oct 2024,20 Oct 2024,"The Jodhpur RIFF (Rajasthan International Folk Festival) is Indias premiere international roots music festival of folk, indigenous, jazz, reggae, classical and world music. It takes place every October around Sharad Poornima, the night of the brightest full moon in north India, in the intimate setting of the spectacular fifteenth-century Mehrangarh Fort."
Jharkhand and Odisha Folk Festival,Folk Arts,Goa,Goa,09 May 2025,11 May 2025,"The vibrant cultural heritage of Jharkhand and Odisha takes centre stage with the launch the Jharkhand and Odisha Folk Festival, an inaugural celebration curatedby Contact Basein association with Axis Bank Foundation and the International Centre Goa (Laran). Debuting from 09 to 11 May 2025, the festival honours the living traditions of Jharkhand and Odisha, spotlighting a dynamic blend of Chhau dance, tribal arts, and rural craftsmanship."
Jazz Weekender,Music,New Delhi,Delhi NCR,28 Sep 2024,29 Sep 2024,"The inaugural edition of the Jazz Weekender was organised and conceptualised in 2022 byboxout.fm, Wild City, Gatecrash, Art Unites & Jazz In India, to celebrate the occasion of International Jazz Day. It was a three-day festival showcasing some of the genres most exciting Indian and international artists, like drummer Gino Banks, guitarist Rhythm Shaw, singer Tribemama Marykali, the bands Four + 1, Pakshee, The Jass Bstards, The Revisit Project and many others."
Jazz India Circuit International Festival,Music,Delhi,Haryana,19 Mar 2023,,"The Jazz India Circuit International Festival is a one-stop destination to hear the newest and most diverse acts in contemporary jazz. The festival, which is staged annually in Delhi as well as in Goa, aims to push the boundaries of what typically constitutes the sound of jazz by curating experimental, up-tempo and funky styles of the form."
Jashn-e-Talat by Sahar Zaman,Music,Delhi,Delhi NCR,04 Feb 2020,,"A multi-city, multi-disciplinary festival in memory of legendary Hindi film playback singer and actor Talat Mahmood, Jashn-e-Talat by Sahar Zaman was launched in 2017 with an aim to introduce the much-loved vocalists music and movies to todays youth and keep his legacy alive."
Jashn-e-Rekhta,Multiarts,Delhi,Delhi NCR,13 Dec 2024,15 Dec 2024,"The multiarts festival, Jashn-e-Rekhta,  celebrates the Urdu language and Hindustani culture through ghazals, Sufi music, qawwali, dastaangoi, panel discussions, mushaira, poetry recitations and more."
Interface Arts Festival,Dance,Kolkata,India,10 Dec 2024,12 Dec 2024,"The International Festival of Contemporary Expressions (INTERFACE) is a unique international arts festival in Eastern India, dedicated to showcasing contemporary dance experiments from around the globe. Established in 2002 bySapphire Creations Dance Companyto commemorate its 10th anniversary, the festival celebrates the transformative power of the arts, exploring movement and the intersection of creative forms. Over the years, INTERFACE has featured artists from countries including the USA, Malaysia, and India."
Indiegaga,Music,Kozhikode,Kerala,21 Jan 2023,,"Indiegaga is a travelling multi-genre independent music festival. Kerala-based artist management and event company Wonderwall Media launched the festival in 2019 in Kochi. After a pandemic-caused hiatus, Indiegaga returned in May 2022."
India International Music Week (IIMW),Music,Goa,Goa,04 Feb 2025,06 Feb 2025,"India International Music Week (IIMW) is a pioneering initiative aimed at reshaping how the world engages with the Indian music ecosystem by fostering trade, cultural exchange, and collaboration.Designed toconnect Indian and International music markets, IIMW aspires to position India as a central hub for music innovation, exchange, and business opportunities on the global stage."
Idli Soda Festival,Music,Chennai,Tamil Nadu,18 Feb 2023,19 Feb 2023,"The Idli Soda Festival is the first Fusion Music Festival in Chennai, featuring eight live bands from across the country. The bands that will be performing during the two-day festival include Thaikkudam Bridge, Indian Ocean and Swarathma. Tamil Musician and Playback Singer Pradeep Kumar would also be performing at the festival. The Idli Soda Festival also host seven heavy-duty music workshops on vocal, instruments and music technology. The Idli Soda Festival will also accommodate food and merchandise stalls for the audiences gastronomic delight."
Hornbill Festival,Multiarts,Kohima,Nagaland,01 Dec 2024,10 Dec 2024,"Hornbill Festival is a ten day event that seeks to showcase Nagalands rich cultural heritage and traditions in all their glory. Established in 2000, the festival has since come to be popularly known as the festival of festivals. A unique event, it offers a peek into the cultural diversity of not only the Naga people, but all the north-eastern states of India."
Himalayan Flow Gathering 2.0,Arts and Crafts,Bir,India,29 Mar 2024,31 Mar 2024,"Himachals most awaited art and retreat festival is back with its second season from 29th to 31st March in Bir, Himachal Pradesh. The Himalayan Flow Gathering is a journey of self-discovery and personal growth. It is a three-day celebration of creativity, connection, and conscious living with a diverse range of workshops and live music performances by talented artists against the breath-taking views of the Himalayas."
Goa Sunsplash,Music,Goa,Goa,12 Jan 2025,13 Jan 2025,"Started in 2016, Goa Sunsplash is Indias largest celebration of reggae music and culture. The annual festival has three music stages, yoga and dance workshops, a flea market, food stalls and panel discussions."
Goa Pride Festival,Multiarts,Anjuna,Goa,07 Apr 2023,09 Apr 2023,"The Goa Pride Festival, also known as #Pyaarkatyohar, returned for its second edition in 2023. The festival was launched in 2022 byPranay Priyanka Bhowmickto create a safe space for the queer community in India. Thefestivalalso provides a platform for activists and community leaders to engage in meaningful discussions about LGBTQ+ rights and issues in India. This years festival featured a range of fun activities such as fire shows, cine-e-satrangi, partner games, Satrangi bazaar, and a Gender Bender fashion show. Attendees experienced a string of events such as Latin Mix Dance Party, DJ nights, and performances by some of the best artists in the queer community, including Goa-based drag artist Gautam Bandodkar. Thefestivalis a time for people to celebrate love in all its forms and embrace their identities."
Goa Open Arts Festival,Visual Arts,Panjim,Goa,23 Feb 2024,28 Feb 2024,"The Goa Open Arts Festival, launched in 2020, is back for its second edition at Panjims historic Maquinez Palace (Old GMC). The festival showcases local talents spanning visual arts, music, spoken word, performance, and films. Featuring an expanded venue and programme with curated live performances by guest experts,the festival targets engagement from local and statewide audiences."
Global ISAI Festival,Music,Chennai,Tamil Nadu,21 Feb 2020,23 Feb 2020,"Launched in 2012 in Chennai, the Global ISAI Festival was inspired by music festivals of Europe hosted by smaller villages. Described as the global music festival with a local heart, it showcases and celebrates all genres of western music. Pop, rock, blues, jazz, funk, hip-hop and even fusion are on offer. Spains Els Catarres, Australias Grace Barbé , Turkeys Light in Babylon and the UKs Susheela Raman are among the international stars to have performed."
Global Indie Festival,Music,Mumbai,Maharashtra,04 Nov 2023,05 Nov 2023,
GIFLIF Indiestaan Music Festival,Music,Huda Gymkhana Ground Gurugram,Delhi NCR,30 Nov 2024,01 Dec 2024,"The GIFLIF Indiestaan Music Festival, started in 2015, is a multi-city youth festival held in Gurgaon, Bhopal and Raipur. Organised byWhite Walls Media, the festival accommodates talks, film screenings, music concerts, plays, poetry recitals, storytelling sessions and book discussions among  several other events. Writers Devdutt Pattanaik, Gulzar, Javed Akhtar and Ruskin Bond and actors Rajat Kapoor, Saurabh Shukla, Taapsee Pannu and Vinay Pathak are among those who have been part of the festival over the years."
gFest,Arts and Crafts,Kochi,Kerala,16 Feb 2024,02 Jun 2024,"G-Fest is a celebration of artists and the art they have created under the genDeralities fellowships by the reFrame Institute of Art and Expression between the years 2020 and 2022. Spanning across media, form and aesthetic language, the artworks displayed at theorganisationreflect and reveal, disrupt, debate and contemplate the complex lived realities of women, transgender and queer folk in India today. The programmes at thefestivalincluded films, performances, podcasts, illustrated tales, digital performances, mixed media works, installations and music videos."
Gaia Festival,Music,Raison,Himachal Pradesh,28 Sep 2024,29 Sep 2024,"The Gaia Festival is a multi-disciplinary showcase of music, adventure, art and wellness activities that will take place in the lap of nature, against the breathtaking backdrop of the Himalayas, near the mystical River Beas in Raison (just 40 minutes before Manali and 5 hours by road from Chandigarh)."
Freedom Festival,Music,Bengaluru,Karnataka,26 Aug 2022,28 Aug 2022,"To commemorate 75 years of Indias Independence, the Indian Music Experience Museum will stage the weekend-long Freedom Festival featuring performances by stalwarts of Indian Karnatic, Hindustani and folk music. A total of 13 concerts will be presented, including those by mridangam player Umayalpuram Sivaraman, vocalists Sandeep Narayan and Sudha Ragunathan, and a group of Rajasthani folk musicians led by Kasam Khan Langa. The shows will be held at the MLR Convention Centre on 26 and 27 August and at the Indian Music Experience Museum on 28 August."
Firefly Festival,Music,Kamshet Pune,Maharashtra,01 Jun 2024,,"The Firefly Festival, hosted in Purrom, offers attendees an enchanting evening of music and nature during its third edition in June. Participants can enjoy soulful acoustic performances on an outdoor platform, surrounded by the magical glow of fireflies and the serene beauty of the forest. This event serves as a holistic getaway, catering to the enhancement of physical, nutritional, emotional, intellectual, environmental, and spiritual well-being."
Fest5 International Film Festival,Film,Kolkata,West Bengal,01 Feb 2024,04 Feb 2024,"Fest5 International Film Festival is a dynamic platform that unites filmmakers, artists and film enthusiasts to exchange ideas, share creativity and revel in the enchantment of the cinema. Thefestivalaims to showcase a diverse range of films, spanning various genres, languages, and cultures, fostering cultural exchange and promoting cross-cultural understanding. Set at the prestigious National Library in Kolkata, Fest5 International Film Festival embodies a vibrant celebration of cinematic excellence and artistic expression.Check out more film festivalshere."
F of X Festival,Multiarts,Nainital,Uttarakhand,20 Feb 2020,23 Feb 2020,"Started in 2019, the F of X Festival is a four-day, invite-only residential festival held inside Jim Corbett National Park. F of X is named after the mathematical term function of x or f(x), and is designed to help creative professionals identify their x or that one variable that makes life feel more meaningful, happy and purposeful. It is a space for the audience to exchange perspectives, find collaborators and grow creatively in the fields of art, music, design, fashion, film, food, photography and tech."
"Experience Palghar- Colours of Culture, Imprints of Tradition",Arts and Crafts,Bapugaon Ganjad and Gholwad in Palghar,Maharashtra,28 Feb 2025,02 Mar 2025,"The inaugural edition ofExperience Palghar: Colours of Culture, Imprints of Traditionwill transform villages into vibrant cultural destinations, highlighting Palghars rich artistic and heritage traditions. Hosted across Bapugaon, Ganjad, and Gholwad, the festival will showcase indigenous crafts, performances, and local customs. By bringing communities together, the event offers an immersive cultural experience while preserving and celebrating Palghars unique identity. Presented by theMaharashtra Tourism Development Corporation (MTDC), Experience Palghar will take place from 28 February to 02 March, 2025."
Echoes of Earth,Music,Bengaluru Goa,Delhi NCR,07 Dec 2024,08 Dec 2024,"Taglined Indias greenest music festival, Echoes of Earth is a multi-genre event that celebrates the environment. Launched in 2016, it features stages and installations made from recycled and up-cycled materials. No plastic or flex materials are used and a sapling is planted for every ticket sold."
Disco Blood Bath,Dance,Mumbai,Maharashtra,25 Oct 2024,,"Disco Blood Bath is an annual festival brought to you by Wench Film Festival, offering a thrilling blend of dark romance, pulsating music, and gothic spectacle. Centered around the theme of a vampire wedding, this unique event fuses dance, live performances, and captivating visuals to create an immersive experience like no other. As the highlight of the Halloween season, Disco Blood Bath attracts a diverse audience of horror enthusiasts, dance lovers, and those who crave a taste of the macabre. Currently in its second edition Disco Blood Bath also curates horror film screenings and scaryoke (horror karaoke) as part of the celebration."
Dariyapur Dokra Mela,Arts and Crafts,Dariyapur,West Bengal,25 Oct 2024,27 Oct 2024,"Dariyapur Dokra Mela is an annual festival celebrating the heritage of the indigenous Dokra craft of Bengal. Dariyapur, a hub in Purba Bardhaman district, is celebrated for its unique Dokra craft, an ancient non-ferrous metal casting technique that has earned the Geographical Indication (GI) certification in 2018. Metal crafters settled in Dariyapur about 120 years ago, elevating Dokra from a household craft to a globally admired art form known for its simple yet rustic appeal. Dating back to the Indus Valley Civilization, Dokra is one of the earliest techniques of non-ferrous metal casting. This ancient lost-wax method yields metal artifacts renowned for their captivating folk patterns and primitive simplicity. Each piece is created with a unique mold used only once, resulting in a distinctive antique finish that highlights the charm and individuality of every artifact.Dariyapur is hosting a Dokra Mela from 25 to 27 October 2024 where the visitors can watch live Dokra metal casting demonstrations, interact with skilled artisans, and browse a variety of Dokra items, from functional pieces to decorative art. The local folk art museum offers a rare glimpse into antique Dokra artifacts."
Conscious Culture Festival,Arts and Crafts,Mumbai,Maharashtra,04 Mar 2023,05 Mar 2023,"Conscious Culture Festival is a unique initiative, envisioned to champion sustainable prosperity by shaping a culture that provides a new positive vision for the future. Organised by Jio World Drive,Future Collectiveand Reliance Brands, it is a two-day immersive event curated to inspire and influence change in the community by providing an interface for trade, art, networking, collaborations and learning opportunities in a sustainable lifestyle space. The Conscious Culture Festival aims at inspiring people to build conscious habits by delivering experiences that demand mindful actions and exposing them to the best conscious homegrown brands across sectors like fashion, food, home, pets and beauty."
Citi-NCPA Aadi Anant: From Here to Eternity,Music,Mumbai,Maharashtra,10 Dec 2022,08 Jan 2023,"TheNational Centre for the Performing Arts(NCPA), in association withCitigroup, launched Indian classical music festival Aadi Anant: From Here to Eternityin 2012. The multi-city travelling festival showcases celebratedgurus (teachers) performing with theirshishyas(students), as a testimony to the age-oldguru-shishyatradition."
Chhau Jhumur Mela,Music,Purulia,West Bengal,18 Oct 2024,20 Oct 2024,"Balarampur, located in Purulia, is renowned as the abode of Chhau dance, inscribed in UNESCOs Representative List of Intangible Cultural Heritage of Humanity in 2010. The Royal Chhau Academy, run by Chhau artists, serves as a hub for nurturing traditional skills and training aspiring dancers. Maldi is a pivotal destination for experiencing Chhau dance heritage, focusing on training the youth to preserve this traditional art form. Regular classes hosted by esteemed Chhau gurus ensure that the younger generation remains connected to their cultural roots. Nestled in Purulias greenery, Maldi remains a hotspot for nurturing young talent."
Chau Jhumur Utsav,Dance,Purulia,West Bengal,28 Mar 2023,30 Mar 2023,"The Chau Jhumur Utsav is being held at Bamnia, Jaldha II, Purulia in West Bengal between 28 and 30 March 2023 to celebrate the traditional and cultural folk art forms of Purulia."
Chair Poetry Evenings,Music,Kolkata,West Bengal,26 Nov 2022,28 Nov 2022,"Established in 2018, the Chair Poetry Evenings – Kolkatas International Poetry Festival has since become one of the largest poetry festivals in the world. The very first edition of the festival saw poets from Belgium, Slovakia, France, Ireland and various parts of India take part in it. Chair Poetry Evenings presents poets from around the globe with an eye to tell stories through those voices which have enabled poetry to come thus far over time.  Events from the festival are hosted across several venues in Kolkata. Presenting eminent names in poetry from across the world,the festivalhas featured poets from over 20 countries reading in 25 different languages so far. It is one of the few festivals where a poetry reading is held on a river cruise down the Ganga."
Celebrate Bandra Music Edition,Music,Mumbai,Maharashtra,19 Nov 2022,20 Nov 2022,"This two-day music festival took place in Mumbai in November. Organised by Third Culture Entertainment, the 9th edition of the festival will return to the Bandra fort after a three-year gap."
Brahmaputra Literature Festival,Literature,New Delhi,Delhi NCR,06 Feb 2025,08 Feb 2025,"The Brahmaputra Literature Festival (BLF), organised by theAdharxila Trust,Assam, is a celebration of the finest writing and culture from Assam and the greater Northeast region. The festival aims to create meaningful connections between the Northeast and the rest of India, as well as with neighbouring countries and the global literary and publishing communities. The literature festival willl be held every February in Assam, establishing itself as an annual landmark event in the literary calendar of the state. With an eclectic mix of 42 speakers across 12 sessions spread over 3 days, the festival promises a journey through the rich tapestry of literature, art, and ideas that define the region."
Boxout Weekender,Music,New Delhi,Delhi NCR,05 Apr 2019,07 Apr 2019,"Boxout Weekender is a three-day festival that celebrates the anniversary of boxout.fm, an Indian online independent music community radio station, which was launched in April 2017. The line-up is entirely made up of resident DJs and artists with shows on the station. Singer/rapper Delhi Sultanate, jazz drummer and composer Sarathy Korwar and electronic music producers Spryk and Suchi are among the acts that have played at previous editions."
BLR Hubba,Music,Bengaluru,Karnataka,30 Nov 2024,15 Dec 2024,"The annual BLR Hubba is Bengalurus city festival and brings the citys community spaces to life by celebrating Bengalurus diverse cultural treasures in performing and visual arts, literature, theatre, science, music, technology, design, and more. The 2024 edition runs from 30 November to 15 December 2024."
Bloomverse,Music,Guwahati,Assam,02 Apr 2022,03 Apr 2022,"Bloomverse is a new boutique independent music festival staged in the vibrant natural landscape of The Greenwood Resorts in Khanapara, which lies right on the edge of the booming capital city of Guwahati. The 17-artist line-up of the inaugural edition featured some of the countrys finest contemporary singer-songwriters, rock and metal bands and electronic music producers, including many talented acts from the north east."
Birbhum Lokutsav,Arts and Crafts,Bolpur,West Bengal,12 Apr 2023,14 Apr 2023,"Birbhum Lokutsav celebrates the folk art forms and handicrafts of Birbhum district of West Bengal. The rich red soil of Birbhum, along with its shallow meandering rivers, terracotta temple, the Visava Bharati university and its rich legacy of literary stalwarts provide a fitting backdrop for cultural activities. The Baul tunes of Birbhum, traditional dance form Raibenshe and other tribal dances set the precedent to numerous cultural activities and festivals in the region. At Birbhum Lokutsav, traditional handicrafts made by rural artisans, includingKanthaembroidery,Patachitra,batikprints,sholaart, bamboo basketry and pottery will be exhibited and sold. The festival will also feature cultural performances such as Baul music, Raibenshe and Chau dance. This festival is held as part of the Rural Craft and Cultural Hubs (RCCH) initiative of West Bengal undertaken by the Department of MSME&T (Micro, Small and Medium Enterprises and Textiles), Govt. of West Bengal, and UNESCO, with support from the District Administration of Birbhum."
Bir Music Festival,Music,BirBilling,Himachal Pradesh,07 Dec 2024,08 Dec 2024,"Launched in 2020, the Bir Music Festival is described as pahadon ka tyohaar, or a festival of the mountains. The two-day festival is held twice a year in the village of Bir of Kangra valley of Himachal Pradesh, India. Organised byHipostel, the festival is designed as an indie music, art, adventure and retreat festival."
Bikaner Folk and Handicraft Festival,Music,Bikaner,Rajasthan,16 Nov 2022,17 Nov 2022,"The Bikaner Folk and Handicraft festival spotlights the talents of the Mir community of traditional folk musicians and the artisans of the Usta form of painting and engraving, both of which are resident to the Bikaner district of northwest Rajasthan."
Bhawaiya Festival,Music,Jalpaiguri,West Bengal,01 Apr 2023,02 Apr 2023,"The Bhawaiya Festival celebrates Bhawaiya song, one of the traditional folk art forms of North Bengal. Derived from the word Bhawa meaning low-lying land used to grow vegetables, these songs reflect the experiences of rural life. The themes of Bhawaiya compositions are premised on the lived realities of common people of North Bengal. The festival is part of the initiative Rural Craft and Cultural Hubs of West Bengal, undertaken by the Department of MSME&T (Micro, Small and Medium Enterprises and Textiles), Govt. of West Bengal and UNESCO to strengthen ICH (Intangible Cultural Heritage) based craft and performing arts of the state."
Baul Mela,Music,Joydev Kenduli Birbhum West Bengal,West Bengal,18 Oct 2024,20 Oct 2024,"Joydev Kenduli, a charming village located in the Ilambazar block of Bolpur subdivision in the Birbhum district, is celebrated for its profound cultural and historical significance. This village is reputed to be the birthplace of the illustrious poet Joydev, who is famed for his Sanskrit work Geet Govinda, a revered text in Indian literary traditions."
Baul Fakiri Utsav,Music,Gorbhanga Nadia,West Bengal,25 Oct 2024,27 Oct 2024,"This three-day festival launched in 2010 celebrates Baul music, which has been resonating across the horizons of Bengal and beyond for several centuries. There are about 2,500 Baul musicians in different districts of West Bengal, especially Nadia, Murshidabad, Birbhum, Bardhaman and Bankura. The Baul Fakiri Utsav sees 150 to 200 of them gathering to celebrate their art from dawn to dusk."
Bass Camp Festival,Music,Bengaluru Goa Kolkata Mumbai Pune Kathmandu,Delhi NCR,04 Oct 2023,22 Oct 2023,"Started in February 2010, Bass Camp is Indias best-known bass-heavy electronic music festival. Jungle, drum and bass, dubstep, electro, breaks and footwork are some of the sub-genres showcased at the event. The travelling festival has been staged at venues across Mumbai, New Delhi, Bengaluru, Pune, Kolkata, Chennai, Goa, Guwahati, Shillong, Chandigarh and Jaipur."
Bannabagram Mela,Music,Bannabagram Purba Bardhaman West Bengal,West Bengal,18 Oct 2024,20 Oct 2024,"Nestled amidst the lush green pastures of Purba Bardhaman district, Bannabagram, Warispur, and Harekrishnapalli form a closely connected cluster of villages that we consider as one expansive community, collectively known as Bannabagram. This picturesque region offers a serene countryside retreat. Within Bannabagram, youll find the Baul Ashram, a cultural space adjacent to a forest range where Baul musicians gather to perform. Nearby, villages like Warispur and Alefnagar are renowned for their Kantha embroidery. The Kantha center in Bannabagram is a vibrant hub where women create intricate Kantha embroidery, a centuries-old craft that repurposes old cloth into new creations, weaving stories through every thread."
Bangalore Open Air,Music,Bengaluru,Karnataka,01 Apr 2023,,"Launched in 2012, Bangalore Open Air is an annual outdoor heavy metal music festival in Bengaluru. Held in collaboration with Wacken Open Air, which takes place in the village of Wacken in the German state of Schleswig-Holstein, Bangalore Open Air has featured some of the worlds finest international metal bands over its eight editions. The list includes Germanys Kreator, Destruction and Suidakra, the UKs Napalm Death, the USs Iced Earth and Inquisition, Canadas Skull Fist, Swedens Dark Tranquility, Norways Ihsahn and Leprous, Austrias Belphegor, Israels Orphaned Land, Polands Vader and Bangladeshs Orator."
Avirbhav Concerts,Music,Gurgaon,Delhi NCR,24 Feb 2023,26 Feb 2023,"Launched in 2018, Avirbhav Concerts is an initiative byKal-Aakaar Collective, aimed at helping families with children familiarise themselves with stage shows and cultural performances. The concerts aim to bridge the gap between audiences and Indian classical, folk, traditional, and contemporary artists. An upcoming show by Avirbhav includes a soulful performance by popular Sufi band Nizami Bandhu between 24 and 26 Feb in Gurugram."
Artie’s Festival India,Music,Mumbai,Maharashtra,07 Jun 2022,08 Jun 2022,"French cellist Gauthier Herrmann and the National Centre for the Performing Arts launched the bi-annual Arties Festival in 2008 to bring together acclaimed musicians from Europe who share a common passion for chamber music and the aim of making it accessible to everyone. In 2014, Herrmann formed the Arties Chamber Orchestra, which performs symphonic music specially arranged for a chamber orchestra. Over the years, the orchestra has created a niche for itself by playing chamber reductions for large orchestral works. By playing masterworks with limited forces, it has introduced them to a wider audience."
AMI Arts Festival,Arts and Crafts,Kolkata,West Bengal,21 Nov 2024,22 Dec 2024,"The AMI Arts Festival which takes place in Kolkata celebrates the cultural legacy of India and its contemporary artistic manifestations. The festival showcases works by artists from across India and abroad, in an effort to encourage the cross-pollination of ideas and creativity."
Amarrass Nights,Music,New Delhi,Delhi NCR,22 Sep 2023,,"Amarrass Nights, held at iconic locations across Delhi, celebrates young artists as well as living legends in the realm of folk and traditional music and arts. Launched in 2009, the Amarrass Nights are organised by theAmarrass Recordsand Amarrass Society for Performing Arts, who aim to create sustainable ecosystems that preserve, promote and nurture traditional Indian music. Over the past decade, Amarrass has produced over 40 world-class events in Delhi, Jaipur and beyond with concerts by Barmer Boys, Charanjit Singh, Padma Shri artists Lakha Khan and late Sakar Khan, Gabacho Maroc, Madou Sidiki Diabatè, Bagga Khan, Askari Naqvi, Rehmat~e~Nusrat, HimaliMou, Jumme Khan, Popular Meeruthi and many more. Highlights at this years festival included performances by Rajasthani folk band Barmer Boys, Delhi-based blues band BLU and a special Vinyl Hour with Kala Ghoda Records."
AAVARTAN 2024,Dance,New Delhi,Delhi NCR,12 Sep 2024,13 Sep 2024,Aavartan is a one-of-a-kind Indian classical dance and music festival in the National Capital of India. The festivals gains a unique position with each passing year as a young peoples festival wanting to reconnect with their roots.
What Design Can Do,Design,Delhi,Delhi NCR,08 Mar 2025,,"After successful editions in São Paulo, Amsterdam, and Mexico City, What Design Can Do (WDCD) Live is set to take place in Delhi at the iconic India Habitat Centre. This highly anticipated event will bring together leading minds in design, innovation, and social change to explore how design can drive a more sustainable future. The festival organised by What Design Can Do in partnership withUnbox Cultural Futuresand The Design Village, and supported by Global Methane Hub and The Rockefeller Foundation, will feature performances, workshops, exhibitions, panel discussions, and collaborative sessions with experts, offering a dynamic space for learning and exchange."
Utsavam,Multiarts,Chennai,Tamil Nadu,25 Feb 2023,26 Feb 2023,"Launched in 2016, Utsavam is the annual arts and culture festival curated and presented by the DakshinaChitra Heritage Museum, in collaboration with the Shreya Nagarajan Singh Arts Development Consultancy. Thefestivalbrings together artists, academics and organisers across disciplines such as dance, folk arts, heritage, music and theatre.Over the years, the event has showcased presentations of Carnatic classical music, Bharatanatyam, and south Indian folk dance and drama forms such as kattaikoothu from Tamil Nadu and yakshagana from Karnataka. Poet Arundhathi Subramaniam, writer and theatre director Gowri Ramanarayan, theatre scholar Hanne De Bruin, journalist Kavitha Muralidharan, artist Laya Mathikshara, koodiyattam practitioner Nepathya Sreehari Chakyar, historians Nivedita Louis and V. Sriram, and Bharatanatyam dance company Vyuti are among the many speakers and performers to have participated in the festival over the years.Utsavam is based on a different theme every year. Previous themes include Sangeetham and Bharatham, Women and Goddesses: Myth and Reality and Future of the Arts. In 2022, the theme was Crafting a Women-Centric Future. The event focused on the launch of the Gwillim Project, which is centred on the artwork and life of two British sisters who settled in Chennai in the early 19th century. The theme for Utsavam 2023 is the Future is Feminine. This year, the festival invites women and women-identifying entrepreneurs from Chennai to flaunt their products, services and businesses at DakshinaChitra.Over the years, the festival has sought to highlight multiple perspectives on the achievements of women in India across class, caste and genres. It celebrated women and female-identifying persons and their contributions in fields such as the arts, politics, business and technology through exhibitions, performances, talks, discussions, screenings and networking events."
Utopian Dystopia,New Media,Kochi,Kerala,02 Jul 2022,09 Jul 2022,"Utopian Dystopia, a ten-day Kochi-based festival have provided a platform for over 100 artists, designers and engineers to come together and blend art, design and technology. The festival, which takes place every two years, have been conceptualised with the aim of highlighting how those disciplines complement each other."
